code,name,category,severity,causes,fix_plan,parts,est_hours,maintain_cost_cny,keywords,source
ENG-01,发动机无法启动,ENG,H,蓄电池亏电;启动马达故障;油路无油;预热不足,检查电瓶电压与接线;检查启动机与保险;排空油路空气后重启,蓄电池;启动马达;油水分离器,3,3500,打不着火;无法启动;启动困难,维保知识库（公开资料整理）
ENG-02,发动机功率不足,ENG,M,空滤堵塞;燃油品质差;增压器故障;气门间隙异常,更换空滤;清洗油路更换滤芯;检查增压器与中冷;调整气门间隙,空滤;柴油滤芯;增压器密封件,4,2800,没劲;爬坡无力;冒黑烟,维保知识库（公开资料整理）
ENG-03,发动机水温过高,ENG,H,水箱缺水;节温器卡滞;风扇皮带松弛;散热器堵塞,补足冷却液;更换节温器;张紧风扇皮带;清洗散热器翅片,节温器;风扇皮带;冷却液,3,1500,高温;开锅;水温报警,维保知识库（公开资料整理）
ENG-04,机油压力过低,ENG,H,机油量不足;机油泵磨损;滤芯堵塞;油道泄漏,检查油位并补油;更换机油泵与滤芯;检查油道密封,机油滤芯;机油泵;机油,3,2200,机油报警;油压灯亮,维保知识库（公开资料整理）
ENG-05,排气管冒蓝烟烧机油,ENG,M,活塞环磨损;气门油封老化;涡轮增压器油封泄漏,大修更换活塞环组件;更换气门油封;检修增压器,活塞环;气门油封;增压器修理包,16,18000,烧机油;冒蓝烟,维保知识库（公开资料整理）
ENG-06,发动机异响,ENG,H,曲轴轴承磨损;连杆轴承间隙大;活塞敲缸,停机检查;测量轴瓦间隙;更换磨损轴瓦与连杆瓦,曲轴瓦;连杆瓦;止推瓦,12,9500,发动机响;敲缸声,维保知识库（公开资料整理）
ENG-07,燃油系统进气,ENG,M,油箱油位低;管路接头松;滤芯密封不良,补油;紧固接头;更换密封圈与滤芯并排气,柴油滤芯;密封圈,2,800,油路进气;供油不畅,维保知识库（公开资料整理）
ENG-08,增压器异响或喘振,ENG,M,中冷器漏气;增压器轴承磨损;进气管路泄漏,检查中冷与管路;更换增压器总成,增压器;中冷器;卡箍,6,6800,增压器响;喘振,维保知识库（公开资料整理）
ENG-09,冷却液消耗过快,ENG,M,缸垫冲蚀;水泵渗漏;散热器裂纹,打压查漏;更换缸垫;检修水泵与散热器,缸垫;水泵密封;散热器,8,4200,缺水快;漏防冻液,维保知识库（公开资料整理）
ENG-10,发动机怠速不稳,ENG,L,怠速阀积碳;喷油器雾化不良;燃油含水,清洗怠速阀;检测喷油器;更换油水分离器滤芯,喷油器修理包;油水分离器,4,1900,怠速抖;转速不稳,维保知识库（公开资料整理）
ENG-11,燃油滤芯堵塞报警,ENG,L,燃油杂质多;滤芯寿命到;油品差,更换燃油滤芯并记录更换周期,柴油滤芯,1,450,滤芯堵;更换滤芯,维保知识库（公开资料整理）
ENG-12,曲轴箱压力过高,ENG,M,活塞环磨损;呼吸器堵塞,更换呼吸器阀;检测缸压;大修必要时,呼吸器;活塞环,6,5600,下排气大;呼吸器冒烟,维保知识库（公开资料整理）
HYD-01,液压油温过高,HYD,H,散热器堵塞;油量不足;液压泵内泄大;溢流阀设定过高,清洗散热器;补液压油;检修泵与阀;重新标定压力,液压油;散热器芯;溢流阀,5,3800,油温高;液压高温,维保知识库（公开资料整理）
HYD-02,动臂提升缓慢,HYD,M,主泵流量下降;溢流阀磨损;油缸内泄;先导压力不足,测压标定;更换溢流阀;检修动臂油缸;检查先导泵,主溢流阀;动臂油缸密封包,6,5200,举升慢;动臂无力,维保知识库（公开资料整理）
HYD-03,回转无力或卡滞,HYD,M,回转马达磨损;回转减速器缺油;溢流阀异常,检修回转马达;补回转减速器油;标定回转溢流阀,回转马达修理包;回转油,5,6400,转不动;回转慢,维保知识库（公开资料整理）
HYD-04,液压油缸渗油,HYD,M,油封老化;活塞杆拉伤;缸筒划伤,更换密封包;抛光或更换活塞杆,油缸密封包;活塞杆,4,2600,漏油;油缸滴油,维保知识库（公开资料整理）
HYD-05,液压系统压力异常低,HYD,H,主泵斜盘磨损;安全阀卡滞;吸油滤堵塞,检查泵控系统;清洗安全阀;更换吸油滤芯,主泵修理包;吸油滤芯,7,9800,压力低;没劲,维保知识库（公开资料整理）
HYD-06,先导系统无压力,HYD,H,先导泵故障;先导滤芯堵;先导阀芯卡死,更换先导滤芯;检修先导泵;清洗先导阀,先导滤芯;先导泵,3,2400,手柄没反应;先导失灵,维保知识库（公开资料整理）
HYD-07,行走跑偏,HYD,M,行走马达内泄;中央回转接头泄漏;履带张紧不均,检修行走马达;处理回转接头;调整履带张紧度,行走马达修理包;中央回转密封,5,4200,跑偏;不走直,维保知识库（公开资料整理）
HYD-08,液压油泡沫多,HYD,M,回油滤堵塞;吸油管路漏气;油品含水,更换回油滤;密封吸油管;换液压油,回油滤芯;液压油,3,2900,油起泡,维保知识库（公开资料整理）
HYD-09,铲斗油缸沉降快,HYD,M,油缸内泄;锁紧阀磨损,更换油缸密封;检修锁紧阀,油缸密封包;锁紧阀,4,1800,掉斗;铲斗下沉,维保知识库（公开资料整理）
HYD-10,多路阀卡滞动作迟滞,HYD,M,阀芯磨损;先导压力低;油液污染,拆检清洗多路阀;更换阀芯密封;换油清洗系统,多路阀修理包;液压油,6,3600,动作慢;反应迟钝,维保知识库（公开资料整理）
HYD-11,液压泵异响,HYD,H,吸空;泵轴轴承磨损;联轴器松动,检查油位与吸油管;检修泵;紧固联轴器,液压泵修理包;联轴器,8,7600,泵响;啸叫,维保知识库（公开资料整理）
HYD-12,软管爆裂,HYD,H,软管老化;压力冲击过大;装配扭曲,更换原厂软管;检查蓄能器吸收冲击;规范走向固定,液压软管;管接头,2,1300,管子爆;软管漏,维保知识库（公开资料整理）
ELE-01,全车无电,ELE,H,主保险熔断;电瓶总开关故障;主回路断路,检查主保险与总开关;查主回路接点,保险片;电瓶开关,1,600,没电;全车断电,维保知识库（公开资料整理）
ELE-02,启动马达不转,ELE,H,电瓶亏电;启动继电器故障;马达碳刷磨损,搭电测试;更换继电器;检修马达,蓄电池;启动继电器,2,1500,启动没反应,维保知识库（公开资料整理）
ELE-03,充电指示灯常亮,ELE,M,发电机皮带松;调节器故障;发电机整流桥损坏,张紧皮带;更换调节器;检修发电机,发电机总成;皮带,3,2300,不充电;电瓶亏,维保知识库（公开资料整理）
ELE-04,控制器通讯故障,ELE,H,线束接插件松动;CAN总线屏蔽层破损;控制器损坏,检查接插件;处理CAN线屏蔽;更换控制器,线束;CAN终端电阻;控制器,4,8900,通讯丢失;报警码,维保知识库（公开资料整理）
ELE-05,传感器信号异常,ELE,M,传感器损坏;线路虚接;信号干扰,万用表测信号;更换传感器;规范布线远离高压线,温度传感器;压力传感器,2,1100,传感器报警,维保知识库（公开资料整理）
